"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2017"
"Category","Public spending on education"
"Norway",4.654998
"Iceland",4.317525
"Israel",4.155406
"South Africa",4.061841
"Belgium",4.010449
"Brazil",3.975799
"Sweden",3.864597
"Denmark",3.733292
"Argentina",3.72078
"United Kingdom",3.624579
"Finland",3.587321
"Portugal",3.548018
"France",3.393905
"Canada",3.259545
"United States",3.249475
"Australia",3.23138
"New Zealand",3.187708
"Switzerland",3.163306
"Colombia",3.152782
"OECD - Average",3.082839
"Korea",3.031041
"Netherlands",3.030706
"Chile",3.000646
"Austria",2.941086
"Slovenia",2.896781
"Mexico",2.834662
"Poland",2.771809
"Italy",2.769357
"Latvia",2.769181
"Estonia",2.762699
"Spain",2.629531
"Hungary",2.60707
"Germany",2.595507
"Greece",2.56154
"Luxembourg",2.536854
"Croatia",2.464925
"Slovak Rep.",2.464157
"Czechia",2.436761
"Türkiye",2.412841
"Japan",2.393908
"Russia",2.302651
"Lithuania",2.256156
"Ireland",2.228469
"Bulgaria",1.790996
"Romania",1.620408
