"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2008"
"Category","Public spending on education"
"Norway",4.613819
"Iceland",4.542077
"Belgium",4.143592
"Denmark",4.034499
"Brazil",3.95846
"Colombia",3.916961
"Ireland",3.872247
"Sweden",3.794719
"Estonia",3.724383
"New Zealand",3.665404
"United States",3.590688
"Israel",3.582112
"Argentina",3.561938
"Finland",3.557376
"Latvia",3.484195
"France",3.450149
"Costa Rica",3.446523
"Poland",3.388589
"OECD - Average",3.32294
"Slovenia",3.312609
"Portugal",3.263295
"Lithuania",3.231387
"Canada",3.209979
"Australia",3.169325
"Italy",3.080864
"Switzerland",3.012484
"Mexico",2.99979
"United Kingdom",2.993188
"Netherlands",2.947598
"Hungary",2.912021
"Chile",2.802036
"Spain",2.801687
"Germany",2.665563
"Czechia",2.270408
"Slovak Rep.",2.137078
"Türkiye",2.040376
"Indonesia",1.93772
"Russia",1.869019
