"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2015"
"Category","Public spending on education"
"Costa Rica",4.847132
"Norway",4.624124
"Iceland",4.226942
"Brazil",4.064267
"Belgium",4.053206
"Argentina",4.04863
"Israel",3.972202
"Finland",3.936406
"United Kingdom",3.843116
"Sweden",3.594253
"Portugal",3.394184
"France",3.391426
"New Zealand",3.354798
"Latvia",3.220394
"Mexico",3.197432
"United States",3.188267
"Australia",3.18198
"Canada",3.170711
"Switzerland",3.163403
"OECD - Average",3.147944
"Netherlands",3.145448
"Colombia",3.123892
"Korea",3.046242
"G20",3.029086
"Austria",2.980174
"Slovenia",2.953491
"Poland",2.930356
"Italy",2.774977
"Estonia",2.711455
"Luxembourg",2.688816
"Spain",2.660966
"Greece",2.635396
"Chile",2.630576
"Germany",2.627931
"Hungary",2.624748
"India",2.571205
"Japan",2.522271
"Slovak Rep.",2.514857
"Türkiye",2.498679
"Indonesia",2.491962
"Czechia",2.408261
"Lithuania",2.320374
"Ireland",2.315025
"Croatia",2.055046
"Russia",1.846277
"Bulgaria",1.751722
"Romania",1.704468
