"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2020"
"Category","Public spending on education"
"South Africa",5.321553
"Iceland",4.7800159
"Norway",4.651876
"Israel",4.6049042
"Costa Rica",4.38717
"Belgium",4.2491679
"Colombia",4.1143298
"Sweden",4.0542369
"Finland",3.818289
"United Kingdom",3.700649
"Denmark",3.6984589
"Australia",3.685792
"Brazil",3.5690429
"France",3.531127
"New Zealand",3.395983
"Portugal",3.379765
"Argentina",3.365386
"Canada",3.3569641
"OECD - Average",3.332777
"Korea",3.3287151
"United States",3.294661
"Estonia",3.161783
"Chile",3.1286011
"Netherlands",3.1251941
"Czechia",3.1220601
"Slovenia",3.104476
"Spain",3.082788
"Slovak Rep.",3.0407269
"Italy",3.012342
"Austria",2.9595871
"Poland",2.912576
"Germany",2.9056029
"Croatia",2.8314641
"Mexico",2.820168
"Luxembourg",2.818198
"Latvia",2.78532
"Lithuania",2.531203
"Japan",2.492445
"Türkiye",2.435077
"Hungary",2.393662
"Bulgaria",2.2780721
"Ireland",2.1495969
"Romania",1.906831
