"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2016"
"Category","Public spending on education"
"South Africa",4051.937
"Norway",4.602994
"Costa Rica",4.551488
"Iceland",4.114561
"Brazil",4.112799
"Belgium",4.044523
"Israel",3.990354
"Argentina",3.866413
"Denmark",3.829105
"Finland",3.819765
"Sweden",3.772745
"United Kingdom",3.690457
"France",3.371855
"Portugal",3.358174
"New Zealand",3.291601
"Canada",3.2598
"United States",3.220155
"Australia",3.193161
"Switzerland",3.167287
"OECD - Average",3.134171
"Netherlands",3.105544
"Colombia",3.065175
"Mexico",3.010011
"Latvia",3.00567
"Chile",2.994949
"Austria",2.988191
"Korea",2.968813
"Slovenia",2.908733
"Poland",2.904774
"Hungary",2.803348
"Estonia",2.69122
"Spain",2.65648
"Türkiye",2.632946
"Greece",2.631113
"Germany",2.600421
"Italy",2.584027
"Croatia",2.469983
"Luxembourg",2.461399
"Slovak Rep.",2.423355
"Japan",2.416633
"Lithuania",2.381531
"Ireland",2.307619
"Czechia",2.278536
"Russia",1.871671
"Bulgaria",1.754837
"Romania",1.566696
