"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2010"
"Category","Public spending on education"
"Norway",4.871195
"Costa Rica",4.820263
"Denmark",4.553352
"Iceland",4.329823
"Ireland",4.27456
"Belgium",4.142179
"Brazil",4.021223
"Finland",3.907402
"New Zealand",3.808402
"Australia",3.788551
"Estonia",3.7477
"Portugal",3.739345
"Sweden",3.718517
"Argentina",3.636445
"France",3.59918
"Israel",3.594103
"United States",3.587756
"Canada",3.539711
"Slovenia",3.489394
"OECD - Average",3.46443
"United Kingdom",3.401168
"Poland",3.385548
"Luxembourg",3.291983
"Colombia",3.281409
"Netherlands",3.275288
"Lithuania",3.274297
"Mexico",3.220531
"Latvia",3.215414
"Switzerland",3.115158
"G20",3.016746
"Italy",2.988701
"Spain",2.966595
"Germany",2.912663
"Hungary",2.710769
"Chile",2.673376
"Japan",2.650224
"Slovak Rep.",2.591972
"Czechia",2.431169
"Türkiye",2.357364
"Indonesia",1.907982
"Russia",1.853569
"India",1.78612
