"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2018"
"Category","Public spending on education"
"Norway",4.634337
"Iceland",4.412206
"Israel",4.259859
"South Africa",4.148211
"Belgium",3.975536
"Sweden",3.971727
"Brazil",3.90078
"Costa Rica",3.882851
"Denmark",3.697377
"Finland",3.581989
"United Kingdom",3.394155
"France",3.362569
"Portugal",3.314437
"Australia",3.307333
"Canada",3.221834
"United States",3.221397
"Argentina",3.207986
"Colombia",3.204235
"Korea",3.128792
"New Zealand",3.113526
"OECD - Average",3.099457
"Switzerland",3.085314
"Chile",3.02345
"Netherlands",3.015791
"Estonia",2.954122
"Italy",2.926598
"Slovenia",2.856194
"Austria",2.827367
"Poland",2.789656
"Czechia",2.684517
"Latvia",2.67334
"Greece",2.63378
"Germany",2.62894
"Mexico",2.622181
"Spain",2.61133
"Luxembourg",2.558318
"Hungary",2.540676
"Croatia",2.507879
"Slovak Rep.",2.492518
"Türkiye",2.452061
"Japan",2.348373
"Russia",2.276071
"Lithuania",2.205877
"Ireland",2.164812
"Bulgaria",1.895394
"Romania",1.684485
