"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2012"
"Category","Public spending on education"
"Costa Rica",4.754158
"Norway",4.608714
"Denmark",4.513423
"Iceland",4.269856
"Belgium",4.176546
"Brazil",4.16751
"Ireland",4.126357
"Israel",3.991731
"Finland",3.887309
"Argentina",3.854837
"United Kingdom",3.689777
"Sweden",3.649807
"Portugal",3.544756
"New Zealand",3.542715
"France",3.443588
"Slovenia",3.342652
"Canada",3.339135
"Switzerland",3.301842
"OECD - Average",3.298902
"Australia",3.295539
"United States",3.289182
"Netherlands",3.214088
"Mexico",3.159139
"Estonia",3.149691
"Poland",3.13732
"G20",3.026062
"Colombia",3.019483
"Austria",2.993731
"Luxembourg",2.98298
"Chile",2.929083
"Spain",2.769775
"Italy",2.767916
"Latvia",2.761244
"Germany",2.72631
"Lithuania",2.69228
"Greece",2.669987
"Japan",2.613127
"Croatia",2.582295
"Türkiye",2.492106
"Czechia",2.486302
"Hungary",2.415696
"Slovak Rep.",2.312025
"Indonesia",2.287771
"India",2.247851
"Russia",2.017136
"Bulgaria",1.662444
"Romania",1.439427
