"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2014"
"Category","Public spending on education"
"Denmark",4.674357
"Costa Rica",4.659144
"Norway",4.509178
"Iceland",4.317773
"United Kingdom",4.189626
"Belgium",4.121513
"Brazil",4.0216
"Israel",3.924244
"Finland",3.887987
"Argentina",3.832981
"Sweden",3.62883
"Portugal",3.59064
"Ireland",3.499581
"France",3.432445
"New Zealand",3.37549
"Switzerland",3.273277
"OECD - Average",3.250198
"Latvia",3.222429
"Australia",3.206929
"Canada",3.197652
"Mexico",3.187732
"United States",3.175277
"Slovenia",3.15374
"Netherlands",3.147402
"Colombia",3.093037
"Poland",3.073618
"Austria",2.979963
"Luxembourg",2.778427
"Italy",2.741861
"Germany",2.678556
"Greece",2.678181
"Hungary",2.67337
"Spain",2.651892
"Estonia",2.61887
"Japan",2.576469
"Türkiye",2.538275
"Croatia",2.517164
"Lithuania",2.474578
"Slovak Rep.",2.467584
"Chile",2.466476
"Czechia",2.390923
"Indonesia",2.289216
"Russia",1.948808
"Bulgaria",1.88408
"Romania",1.720269
