"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2013"
"Category","Public spending on education"
"Costa Rica",4.701076
"Norway",4.69368
"Denmark",4.445553
"Iceland",4.193098
"Belgium",4.183889
"Brazil",4.151693
"United Kingdom",4.029587
"Israel",3.946268
"Argentina",3.886624
"Finland",3.878606
"Ireland",3.816136
"Portugal",3.770219
"Sweden",3.651597
"New Zealand",3.496278
"France",3.430057
"Switzerland",3.326131
"Colombia",3.291633
"OECD - Average",3.28641
"Netherlands",3.27888
"Slovenia",3.27375
"Canada",3.265116
"Australia",3.257943
"Mexico",3.207956
"United States",3.202607
"Poland",3.116226
"Estonia",3.097016
"Austria",3.071253
"G20",3.047737
"Latvia",3.030377
"Italy",2.823629
"Germany",2.71073
"Spain",2.692402
"Greece",2.658278
"Chile",2.646546
"Luxembourg",2.617845
"Lithuania",2.596064
"Japan",2.54827
"Türkiye",2.520679
"Croatia",2.481394
"Czechia",2.415625
"Slovak Rep.",2.408981
"India",2.362807
"Hungary",2.303172
"Indonesia",2.269749
"Russia",2.048601
"Bulgaria",1.81548
"Romania",1.625985
