"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2011"
"Category","Public spending on education"
"Norway",4.739211
"Costa Rica",4.587046
"Iceland",4.380891
"Brazil",4.183313
"Ireland",4.14523
"Denmark",4.133907
"Belgium",4.129149
"Finland",3.858106
"Argentina",3.825775
"United Kingdom",3.709077
"Israel",3.674778
"New Zealand",3.647843
"Sweden",3.615736
"Portugal",3.559069
"Australia",3.489743
"France",3.468539
"United States",3.436426
"Canada",3.414058
"Slovenia",3.381269
"OECD - Average",3.313839
"Estonia",3.239097
"Mexico",3.211515
"Netherlands",3.192121
"Poland",3.179938
"Luxembourg",3.157009
"G20",3.148175
"Switzerland",3.129102
"Colombia",3.111201
"Latvia",3.036279
"Spain",2.898799
"Lithuania",2.885708
"Italy",2.820094
"Germany",2.794813
"Russia",2.644428
"Chile",2.632025
"Japan",2.580729
"Czechia",2.453234
"Türkiye",2.379362
"Slovak Rep.",2.36477
"India",2.116583
"Hungary",1.5485
