"Public spending on education"
"Primary to post-secondary non-tertiary, % of GDP, 2019"
"Category","Public spending on education"
"Costa Rica",4.714241
"Norway",4.586946
"Iceland",4.349229
"South Africa",4.287914
"Israel",4.208509
"Sweden",3.936347
"Belgium",3.905924
"Brazil",3.801672
"Finland",3.699126
"Denmark",3.65236
"United Kingdom",3.439377
"Colombia",3.432741
"Australia",3.421575
"Korea",3.385564
"France",3.343979
"Portugal",3.294551
"Argentina",3.215841
"United States",3.214939
"Canada",3.181777
"OECD - Average",3.155041
"Switzerland",3.138599
"New Zealand",3.130449
"Chile",3.130065
"Estonia",3.048966
"Netherlands",2.95676
"Czechia",2.924605
"Slovenia",2.827735
"Austria",2.800769
"Poland",2.79116
"Italy",2.761412
"Luxembourg",2.731616
"Slovak Rep.",2.713441
"Latvia",2.708777
"Türkiye",2.705231
"Germany",2.696213
"Spain",2.646791
"Mexico",2.635897
"Greece",2.5845771
"Croatia",2.491445
"Hungary",2.426399
"Japan",2.394398
"Lithuania",2.256013
"Ireland",2.114504
"Bulgaria",2.03683
"Romania",1.916383
